#WP  Lon[+-180]  Lat[+-90]  Speed[m/s]  delayT[min]  Altitude[m]  CumLegT[H]  UTC[H]  LocalT[H]  LegT[H]  Dist[km]  CumDist[km]  Dist[Nmi]  CumDist[Nmi]  Speed[kt]  Altitude[kft]  SZA[deg]  AZI[deg]  Bearing[deg]  Climbt[min]  Comments  WPnames
0   -117.88639100  +34.91078100  114.27  0    704.7  0.00  0.00  16.14  0.25  101.1  0.0    54.6   0.0    222.1  2.31  -9999.0  -9999.0  0.0  0    takeoff  H2100
1   -117.71926658  +35.06740520  114.27  0    6096.0  0.25  0.25  16.40  0.10  40.0   101.1  21.6   54.6   222.1  20.00  -9999.0  -9999.0  90.0  0    pattern  H2101
2   -117.28073342  +35.06740520  114.27  0    6096.0  0.34  0.34  16.52  0.02  7.6    141.1  4.1    76.2   222.1  20.00  -9999.0  -9999.0  90.0  0    pattern  H2102
3   -117.28085382  +35.02233669  114.27  0    6096.0  0.36  0.36  16.54  0.10  40.0   148.7  21.6   80.3   222.1  20.00  -9999.0  -9999.0  270.0  0    pattern  H2103
4   -117.71914618  +35.02233669  114.27  0    6096.0  0.46  0.46  16.61  0.02  7.6    188.7  4.1    101.9  222.1  20.00  -9999.0  -9999.0  270.0  0    pattern  H2104
5   -117.71902606  +34.97726784  114.27  0    6096.0  0.48  0.48  16.63  0.10  40.0   196.3  21.6   106.0  222.1  20.00  -9999.0  -9999.0  90.0  0    pattern  H2105
6   -117.28097394  +34.97726784  114.27  0    6096.0  0.57  0.57  16.76  0.02  7.6    236.3  4.1    127.6  222.1  20.00  -9999.0  -9999.0  90.0  0    pattern  H2106
7   -117.28109380  +34.93219866  114.27  0    6096.0  0.59  0.59  16.77  0.10  40.0   244.0  21.6   131.7  222.1  20.00  -9999.0  -9999.0  270.0  0    pattern  H2107
8   -117.71890620  +34.93219866  114.27  0    6096.0  0.69  0.69  16.84  0.15  60.8   283.9  32.8   153.3  222.1  20.00  -9999.0  -9999.0  270.0  0    pattern  H2108
9   -118.30000000  +35.04506901  114.07  0    6096.0  0.84  0.84  16.95  0.07  27.9   344.8  15.1   186.2  221.8  20.00  -9999.0  -9999.0  90.0  0    descent  H2109
10  -118.29048387  +35.04438394  113.87  0    6032.5  0.91  0.91  17.02  0.07  27.9   372.7  15.1   201.3  221.4  19.79  -9999.0  -9999.0  100.0  0    descent  H2110
11  -118.28125735  +35.04234958  113.67  0    5969.0  0.97  0.97  17.09  0.07  27.9   400.7  15.1   216.3  221.0  19.58  -9999.0  -9999.0  110.0  0    descent  H2111
12  -118.27260118  +35.03902783  113.47  0    5905.5  1.04  1.04  17.16  0.07  27.9   428.6  15.1   231.4  220.6  19.37  -9999.0  -9999.0  120.0  0    descent  H2112
13  -118.26477869  +35.03451978  113.28  0    5842.0  1.11  1.11  17.23  0.07  28.0   456.6  15.1   246.5  220.2  19.17  -9999.0  -9999.0  130.0  0    descent  H2113
14  -118.25802772  +35.02896258  113.08  0    5778.5  1.18  1.18  17.30  0.07  28.0   484.5  15.1   261.6  219.8  18.96  -9999.0  -9999.0  140.0  0    descent  H2114
15  -118.25255339  +35.02252527  112.88  0    5715.0  1.25  1.25  17.36  0.07  28.0   512.5  15.1   276.7  219.4  18.75  -9999.0  -9999.0  150.0  0    descent  H2115
16  -118.24852187  +35.01540363  112.68  0    5651.5  1.32  1.32  17.43  0.07  28.0   540.4  15.1   291.8  219.0  18.54  -9999.0  -9999.0  160.0  0    descent  H2116
17  -118.24605536  +35.00781419  112.48  0    5588.0  1.39  1.39  17.50  0.07  28.0   568.4  15.1   306.9  218.7  18.33  -9999.0  -9999.0  170.0  0    descent  H2117
18  -118.24522840  +34.99998764  112.28  0    5524.5  1.45  1.45  17.57  0.07  28.0   596.3  15.1   322.0  218.3  18.12  -9999.0  -9999.0  180.0  0    descent  H2118
19  -118.24606563  +34.99216183  112.08  0    5461.0  1.52  1.52  17.64  0.07  28.0   624.3  15.1   337.1  217.9  17.92  -9999.0  -9999.0  190.0  0    descent  H2119
20  -118.24854118  +34.98457451  111.88  0    5397.5  1.59  1.59  17.71  0.07  28.0   652.2  15.1   352.2  217.5  17.71  -9999.0  -9999.0  200.0  0    descent  H2120
21  -118.25257940  +34.97745611  111.68  0    5334.0  1.66  1.66  17.78  0.07  28.0   680.2  15.1   367.3  217.1  17.50  -9999.0  -9999.0  210.0  0    descent  H2121
22  -118.25805729  +34.97102278  111.48  0    5270.5  1.73  1.73  17.85  0.07  28.0   708.2  15.1   382.4  216.7  17.29  -9999.0  -9999.0  220.0  0    descent  H2122
23  -118.26480827  +34.96546981  111.28  0    5207.0  1.80  1.80  17.92  0.07  28.0   736.1  15.1   397.5  216.3  17.08  -9999.0  -9999.0  230.0  0    descent  H2123
24  -118.27262719  +34.96096574  111.09  0    5143.5  1.87  1.87  17.99  0.07  28.0   764.1  15.1   412.6  216.0  16.87  -9999.0  -9999.0  240.0  0    descent  H2124
25  -118.28127665  +34.95764724  110.89  0    5080.0  1.94  1.94  18.06  0.07  28.0   792.0  15.1   427.7  215.6  16.67  -9999.0  -9999.0  250.0  0    descent  H2125
26  -118.29049414  +34.95561499  110.69  0    5016.5  2.01  2.01  18.13  0.07  28.0   820.0  15.1   442.8  215.2  16.46  -9999.0  -9999.0  260.0  0    descent  H2126
27  -118.30000000  +34.95493066  110.49  0    4953.0  2.08  2.08  18.20  0.07  28.0   847.9  15.1   457.9  214.8  16.25  -9999.0  -9999.0  270.0  0    descent  H2127
28  -118.30950586  +34.95561499  110.29  0    4889.5  2.15  2.15  18.26  0.07  28.0   875.9  15.1   472.9  214.4  16.04  -9999.0  -9999.0  280.0  0    descent  H2128
29  -118.31872335  +34.95764724  110.09  0    4826.0  2.22  2.22  18.33  0.07  28.0   903.9  15.1   488.0  214.0  15.83  -9999.0  -9999.0  290.0  0    descent  H2129
30  -118.32737281  +34.96096574  109.89  0    4762.5  2.29  2.29  18.40  0.07  28.0   931.8  15.1   503.1  213.6  15.62  -9999.0  -9999.0  300.0  0    descent  H2130
31  -118.33519173  +34.96546981  109.69  0    4699.0  2.36  2.36  18.47  0.07  28.0   959.8  15.1   518.2  213.2  15.42  -9999.0  -9999.0  310.0  0    descent  H2131
32  -118.34194271  +34.97102278  109.49  0    4635.5  2.43  2.43  18.54  0.07  28.0   987.7  15.1   533.3  212.9  15.21  -9999.0  -9999.0  320.0  0    descent  H2132
33  -118.34742060  +34.97745611  109.29  0    4572.0  2.51  2.51  18.62  0.07  28.0   1015.7  15.1   548.4  212.5  15.00  -9999.0  -9999.0  330.0  0    descent  H2133
34  -118.35145882  +34.98457451  109.10  0    4508.5  2.58  2.58  18.69  0.07  28.0   1043.6  15.1   563.5  212.1  14.79  -9999.0  -9999.0  340.0  0    descent  H2134
35  -118.35393437  +34.99216183  108.90  0    4445.0  2.65  2.65  18.76  0.07  28.0   1071.6  15.1   578.6  211.7  14.58  -9999.0  -9999.0  350.0  0    descent  H2135
36  -118.35477160  +34.99998764  108.70  0    4381.5  2.72  2.72  18.83  0.07  28.0   1099.5  15.1   593.7  211.3  14.38  -9999.0  -9999.0  0.0  0    descent  H2136
37  -118.35394464  +35.00781419  108.50  0    4318.0  2.79  2.79  18.90  0.07  28.0   1127.5  15.1   608.8  210.9  14.17  -9999.0  -9999.0  10.0  0    descent  H2137
38  -118.35147813  +35.01540363  108.30  0    4254.5  2.86  2.86  18.97  0.07  28.0   1155.5  15.1   623.9  210.5  13.96  -9999.0  -9999.0  20.0  0    descent  H2138
39  -118.34744661  +35.02252527  108.10  0    4191.0  2.93  2.93  19.04  0.07  28.0   1183.4  15.1   639.0  210.1  13.75  -9999.0  -9999.0  30.0  0    descent  H2139
40  -118.34197228  +35.02896258  107.90  0    4127.5  3.01  3.01  19.12  0.07  28.0   1211.4  15.1   654.1  209.8  13.54  -9999.0  -9999.0  40.0  0    descent  H2140
41  -118.33522131  +35.03451978  107.70  0    4064.0  3.08  3.08  19.19  0.07  28.0   1239.3  15.1   669.2  209.4  13.33  -9999.0  -9999.0  50.0  0    descent  H2141
42  -118.32739882  +35.03902783  107.50  0    4000.5  3.15  3.15  19.26  0.07  27.9   1267.3  15.1   684.3  209.0  13.12  -9999.0  -9999.0  60.0  0    descent  H2142
43  -118.31874265  +35.04234958  107.30  0    3937.0  3.22  3.22  19.33  0.07  27.9   1295.2  15.1   699.4  208.6  12.92  -9999.0  -9999.0  70.0  0    descent  H2143
44  -118.30951613  +35.04438394  107.11  0    3873.5  3.29  3.29  19.41  0.07  27.9   1323.2  15.1   714.4  208.2  12.71  -9999.0  -9999.0  80.0  0    descent  H2144
45  -118.30000000  +35.04506901  106.91  0    3810.0  3.37  3.37  19.48  0.07  27.9   1351.1  15.1   729.5  207.8  12.50  -9999.0  -9999.0  90.0  0    descent  H2145
46  -118.29048387  +35.04438394  106.71  0    3746.5  3.44  3.44  19.55  0.07  27.9   1379.1  15.1   744.6  207.4  12.29  -9999.0  -9999.0  100.0  0    descent  H2146
47  -118.28125735  +35.04234958  106.51  0    3683.0  3.51  3.51  19.63  0.07  27.9   1407.0  15.1   759.7  207.1  12.08  -9999.0  -9999.0  110.0  0    descent  H2147
48  -118.27260118  +35.03902783  106.31  0    3619.5  3.58  3.58  19.70  0.07  27.9   1435.0  15.1   774.8  206.7  11.87  -9999.0  -9999.0  120.0  0    descent  H2148
49  -118.26477869  +35.03451978  106.11  0    3556.0  3.66  3.66  19.77  0.07  28.0   1462.9  15.1   789.9  206.3  11.67  -9999.0  -9999.0  130.0  0    descent  H2149
50  -118.25802772  +35.02896258  105.91  0    3492.5  3.73  3.73  19.85  0.07  28.0   1490.9  15.1   805.0  205.9  11.46  -9999.0  -9999.0  140.0  0    descent  H2150
51  -118.25255339  +35.02252527  105.71  0    3429.0  3.80  3.80  19.92  0.07  28.0   1518.8  15.1   820.1  205.5  11.25  -9999.0  -9999.0  150.0  0    descent  H2151
