ID,Description,LAT,LONG,Altitude [kft],UTC [hh:mm],Comments
 0,.H2100,+34.910781000000,-117.886391000000,2.31, 0:00,takeoff
 1,.H2101,+35.067405195314,-117.719266576025,20.00, 0:14,pattern
 2,.H2102,+35.067405195314,-117.280733423975,20.00, 0:20,pattern
 3,.H2103,+35.022336686557,-117.280853816336,20.00, 0:21,pattern
 4,.H2104,+35.022336686557,-117.719146183664,20.00, 0:27,pattern
 5,.H2105,+34.977267842091,-117.719026058272,20.00, 0:28,pattern
 6,.H2106,+34.977267842091,-117.280973941728,20.00, 0:34,pattern
 7,.H2107,+34.932198662106,-117.281093800735,20.00, 0:35,pattern
 8,.H2108,+34.932198662106,-117.718906199265,20.00, 0:41,pattern
 9,.H2109,+35.045069005825,-118.300000000000,20.00, 0:50,descent
10,.H2110,+35.044383935956,-118.290483869423,19.79, 0:54,descent
11,.H2111,+35.042349575099,-118.281257346042,19.58, 0:58,descent
12,.H2112,+35.039027832009,-118.272601181329,19.37, 1:02,descent
13,.H2113,+35.034519782794,-118.264778691193,19.17, 1:06,descent
14,.H2114,+35.028962582035,-118.258027718712,18.96, 1:10,descent
15,.H2115,+35.022525273683,-118.252553388042,18.75, 1:14,descent
16,.H2116,+35.015403631635,-118.248521872028,18.54, 1:19,descent
17,.H2117,+35.007814189582,-118.246055362796,18.33, 1:23,descent
18,.H2118,+34.999987644119,-118.245228395759,18.12, 1:27,descent
19,.H2119,+34.992161833697,-118.246065634232,17.92, 1:31,descent
20,.H2120,+34.984574508110,-118.248541176015,17.71, 1:35,descent
21,.H2121,+34.977456108677,-118.252579396238,17.50, 1:39,descent
22,.H2122,+34.971022777981,-118.258057294146,17.29, 1:43,descent
23,.H2123,+34.965469810158,-118.264808266634,17.08, 1:48,descent
24,.H2124,+34.960965738601,-118.272627189540,16.87, 1:52,descent
25,.H2125,+34.957647238130,-118.281276650048,16.67, 1:56,descent
26,.H2126,+34.955614993743,-118.290494140871,16.46, 2:00,descent
27,.H2127,+34.954930658916,-118.300000000000,16.25, 2:04,descent
28,.H2128,+34.955614993743,-118.309505859129,16.04, 2:09,descent
