polygon_id,date,year,day_of_year,value
Guanacaste lowlands,2009-12-19,2009,353,0.6004
Guanacaste lowlands,2010-01-01,2010,1,0.6363
Guanacaste lowlands,2010-01-17,2010,17,0.6027
Guanacaste lowlands,2010-02-02,2010,33,0.588
Guanacaste lowlands,2010-02-18,2010,49,0.5775
Guanacaste lowlands,2010-03-06,2010,65,0.5473
Guanacaste lowlands,2010-03-22,2010,81,0.4585
Guanacaste lowlands,2010-04-07,2010,97,0.4066
Guanacaste lowlands,2010-04-23,2010,113,0.3984
Guanacaste lowlands,2010-05-09,2010,129,0.5717
Guanacaste lowlands,2010-05-25,2010,145,0.6647
Guanacaste lowlands,2010-06-10,2010,161,0.6877
Guanacaste lowlands,2010-06-26,2010,177,0.6103
Guanacaste lowlands,2010-07-12,2010,193,0.7925
Guanacaste lowlands,2010-07-28,2010,209,0.7639
Guanacaste lowlands,2010-08-13,2010,225,0.4513
Guanacaste lowlands,2010-08-29,2010,241,0.7708
Guanacaste lowlands,2010-09-14,2010,257,0.5605
Guanacaste lowlands,2010-09-30,2010,273,0.7605
Guanacaste lowlands,2010-10-16,2010,289,0.7169
Guanacaste lowlands,2010-11-01,2010,305,0.6592
Guanacaste lowlands,2010-11-17,2010,321,0.7071
Guanacaste lowlands,2010-12-03,2010,337,0.5737
Guanacaste lowlands,2010-12-19,2010,353,0.5857
Guanacaste lowlands,2011-01-01,2011,1,0.5965
Guanacaste lowlands,2011-01-17,2011,17,0.5682
Guanacaste lowlands,2011-02-02,2011,33,0.5397
Guanacaste lowlands,2011-02-18,2011,49,0.472
Guanacaste lowlands,2011-03-06,2011,65,0.3952
Guanacaste lowlands,2011-03-22,2011,81,0.3904
Guanacaste lowlands,2011-04-07,2011,97,0.2134
Guanacaste lowlands,2011-04-23,2011,113,0.3354
Guanacaste lowlands,2011-05-09,2011,129,0.539
Guanacaste lowlands,2011-05-25,2011,145,0.6584
Guanacaste lowlands,2011-06-10,2011,161,0.7696
Guanacaste lowlands,2011-06-26,2011,177,0.7275
Guanacaste lowlands,2011-07-12,2011,193,0.6513
Guanacaste lowlands,2011-07-28,2011,209,0.7297
Guanacaste lowlands,2011-08-13,2011,225,0.7522
Guanacaste lowlands,2011-08-29,2011,241,0.7042
Guanacaste lowlands,2011-09-14,2011,257,0.7298
Guanacaste lowlands,2011-09-30,2011,273,0.7417
Guanacaste lowlands,2011-10-16,2011,289,0.5677
Guanacaste lowlands,2011-11-01,2011,305,0.7502
Guanacaste lowlands,2011-11-17,2011,321,0.6901
Guanacaste lowlands,2011-12-03,2011,337,0.6337
Guanacaste lowlands,2011-12-19,2011,353,0.6201
Guanacaste lowlands,2012-01-01,2012,1,0.5479
Guanacaste lowlands,2012-01-17,2012,17,0.5361
Guanacaste lowlands,2012-02-02,2012,33,0.5396
Guanacaste lowlands,2012-02-18,2012,49,0.4631
Guanacaste lowlands,2012-03-05,2012,65,0.3342
Guanacaste lowlands,2012-03-21,2012,81,0.573
Guanacaste lowlands,2012-04-06,2012,97,0.4606
Guanacaste lowlands,2012-04-22,2012,113,0.4785
Guanacaste lowlands,2012-05-08,2012,129,0.5642
Guanacaste lowlands,2012-05-24,2012,145,0.6298
Guanacaste lowlands,2012-06-09,2012,161,0.7465
Guanacaste lowlands,2012-06-25,2012,177,0.7019
Guanacaste lowlands,2012-07-11,2012,193,0.6356
Guanacaste lowlands,2012-07-27,2012,209,0.6597
Guanacaste lowlands,2012-08-12,2012,225,0.6947
Guanacaste lowlands,2012-08-28,2012,241,0.6971
Guanacaste lowlands,2012-09-13,2012,257,0.6943
Guanacaste lowlands,2012-09-29,2012,273,0.5487
Guanacaste lowlands,2012-10-15,2012,289,0.6962
Guanacaste lowlands,2012-10-31,2012,305,0.6397
Guanacaste lowlands,2012-11-16,2012,321,0.5872
Guanacaste lowlands,2012-12-02,2012,337,0.5576
Guanacaste lowlands,2012-12-18,2012,353,0.4192
Guanacaste lowlands,2013-01-01,2013,1,0.3611
Guanacaste lowlands,2013-01-17,2013,17,0.3638
Guanacaste lowlands,2013-02-02,2013,33,0.3763
Guanacaste lowlands,2013-02-18,2013,49,0.4453
Guanacaste lowlands,2013-03-06,2013,65,0.4541
Guanacaste lowlands,2013-03-22,2013,81,0.4494
Guanacaste lowlands,2013-04-07,2013,97,0.2932
Guanacaste lowlands,2013-04-23,2013,113,0.4641
Guanacaste lowlands,2013-05-09,2013,129,0.4707
Guanacaste lowlands,2013-05-25,2013,145,0.7255
Guanacaste lowlands,2013-06-10,2013,161,0.705
Guanacaste lowlands,2013-06-26,2013,177,0.8149
Guanacaste lowlands,2013-07-12,2013,193,0.7422
Guanacaste lowlands,2013-07-28,2013,209,0.8221
Guanacaste lowlands,2013-08-13,2013,225,0.7545
Guanacaste lowlands,2013-08-29,2013,241,0.7379
Guanacaste lowlands,2013-09-14,2013,257,0.771
Guanacaste lowlands,2013-09-30,2013,273,0.7728
Guanacaste lowlands,2013-10-16,2013,289,0.7102
Guanacaste lowlands,2013-11-01,2013,305,0.7785
Guanacaste lowlands,2013-11-17,2013,321,0.7005
Guanacaste lowlands,2013-12-03,2013,337,0.7582
Guanacaste lowlands,2013-12-19,2013,353,0.4528
